,Videos,Videotitel,Veröffentlichungszeitpunkt des Videos,Klicks auf Abspannelement,Klicks auf Infokartenteaser,Klicks auf Infokarte,Geteilte Inhalte,Kommentare hinzugefügt,„Mag ich“ und „Mag ich nicht“ im Vergleich (%),„Mag ich nicht“-Bewertungen,Likes,Verlorene Abonnenten,Gewonnene Abonnenten,Durchschnittliche Wiedergabedauer in Prozent (%),Im Feed angezeigt,Aufrufe,Wiedergabezeit (Stunden),Geschätzter Umsatz (EUR),Durchschnittliche Wiedergabedauer,Impressionen,Klickrate der Impressionen (%)
391,ekYmVTXd9yo,Gewalthilfegesetz geplant - BKA-Bericht: Gegen Frauen gerichtete Straftaten nehmen zu | ntv,2024-11-19,33.0,0.0,0.0,28.0,84.0,73.42,21.0,58.0,1.0,0.0,43.76,0.0,2787.0,38.2806,4.131,0:00:49,88197.0,1.8
392,orX9rCsMOfs,"Moskau soll ""Gigantisches"" planen: Ukraine hat 1000 Quadratkilometer russisches Gebiet erobert | ntv",2024-08-13,33.0,2.0,3.0,0.0,1.0,-400.0,-5.0,4.0,0.0,2.0,42.96,0.0,3939.0,59.2203,6.603,0:00:54,48236.0,5.62
393,DbLfWbdimVs,"Wehmut, Stolz und Glücksgefühl - 16 Jahre ""Keile"" mit der Bahn - Weselsky blickt zurück"" | ntv",2024-09-05,32.0,0.0,0.0,148.0,85.0,97.65,8.0,332.0,1.0,13.0,40.73,0.0,10036.0,769.8813,28.869,0:04:36,195425.0,3.36
394,SCu8Szo9qm8,"Tiere, Autos, Soldaten, Geld: Putin und Kim beschenken sich reichlich | ntv",2024-11-27,32.0,0.0,0.0,20.0,37.0,88.89,6.0,48.0,0.0,2.0,21.19,0.0,30523.0,291.0529,16.189,0:00:34,51018.0,5.46
395,FgOH-5sJ0s4,"SPD stagniert nach Ampel-Crash, FDP und Grüne legen zu | ntv #Trendbarometer",2024-11-12,31.0,0.0,0.0,35.0,164.0,76.67,63.0,207.0,2.0,25.0,17.25,0.0,57260.0,2674.6792,102.257,0:02:48,359798.0,5.22
396,p6fZDZWQhew,Weselsky gibt Bahn zum Abschied letzte Breitseite mit - GDL-Chef sagt gewohnt bissig Adieu  | ntv,2024-09-06,31.0,2.0,1.0,50.0,25.0,94.31,7.0,116.0,0.0,0.0,57.65,0.0,4854.0,140.6868,6.591,0:01:44,56110.0,5.58
397,uoGDFc6rlb4,Perfide Masche von Einbrechern - Achtung an der Haustür | ntv,2024-11-18,31.0,0.0,0.0,92.0,14.0,90.77,6.0,59.0,0.0,8.0,31.03,0.0,46911.0,367.9717,24.736,0:00:28,40332.0,5.41
398,w4Y36G6Ie7I,Rechte Milizen und Bombendrohungen wühlen Springfield auf - Nach Trump-Hetze gegen Migranten | ntv,2024-09-24,31.0,2.0,0.0,12.0,25.0,78.72,20.0,74.0,0.0,1.0,62.22,0.0,3606.0,74.1685,3.397,0:01:14,67441.0,3.7
399,IAn8d3i8CRE,"""Europas E-Auto-Politik wird in China gemacht"" | ntv Geldanlage-Check",2024-09-19,30.0,0.0,0.0,44.0,36.0,87.64,11.0,78.0,0.0,5.0,42.61,0.0,5128.0,196.066,7.146,0:02:17,73754.0,3.62
400,C_VQhndNuT8,Wie ein Salafistenprediger den Rechtsstaat vorführt - Abschiebung von Gericht abgelehnt | ntv,2024-10-22,29.0,0.0,0.0,100.0,134.0,79.72,29.0,114.0,1.0,8.0,25.58,0.0,44082.0,519.8669,21.581,0:00:42,73803.0,7.27
