Videos;Videotitel;Veröffentlichungszeitpunkt des Videos;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Geteilte Inhalte;Kommentare hinzugefügt;„Mag ich“ und „Mag ich nicht“ im Vergleich (%);„Mag ich nicht“-Bewertungen;Likes;Verlorene Abonnenten;Gewonnene Abonnenten;Durchschnittliche Wiedergabedauer in Prozent (%);Im Feed angezeigt;Aufrufe;Wiedergabezeit (Stunden);Geschätzter Umsatz (EUR);Durchschnittliche Wiedergabedauer;Impressionen;Klickrate der Impressionen (%);Länge des Videos (sek);Thema;Bewertung Titel;Gestaltung Thumbnail
jFoQ_RGGOdE;"""Sicher wird vieles anders"" - Scholz gratuliert Trump und schickt drei Botschaften nach | ntv";06.11.2024;2800;130;0;2220;4200;6458;2090;3810;40;460;4004;0;412620;10602455;48624;00:01:32;3388050;545;;;;
_6Yiou1T2Kg;"""Trump hat die Wahl gewonnen - dazu gratulieren wir"" - Baerbock betont Verbundenheit  | ntv";06.11.2024;1460;50;0;2760;5210;3147;2330;1070;10;140;325;0;240330;4859774;26676;00:01:12;1312010;717;;;;
mi4ppbbtEaM;"""Wird sehr chaotisch werden""- Deutschland zittert vor weiterer Trump-Präsidentschaft | ntv";06.11.2024;2230;20;0;1160;4120;600;1800;2700;0;180;6239;0;186260;345384;30334;00:01:06;2550140;565;;;;
yf-KGmRTKnw;"""Trump schlägt sich so gut, wie er immer gesagt hat"" - Kloeppel zu Stand in US-Wahl  | ntv";06.11.2024;460;40;0;290;1280;802;390;1580;10;100;3542;0;146360;6206222;27257;00:02:32;1817290;639;;;;
QdS9xWQ_IDQ;Klingbeil: Bundesregierung ist auf Trump vorbereitet - SPD-Chef zur US-Wahl | ntv;06.11.2024;560;10;0;200;2120;4043;1120;760;10;40;3808;0;69210;2240095;14432;00:01:56;2536760;213;;;;
r4ceidDc62o;"""Lindner hat im Grunde Rausschmiss beim Kanzler bestellt"" - Hillje: zwei Deutungsstreitereien  | ntv";07.11.2024;260;10;170;40;180;6429;150;270;0;10;4711;0;21550;80931;46;00:02:15;503470;269;;;;
zeLSQbpqbWA;Eskalation im Kanzleramt: So sieht der lang erwartete Ampel-Bruch aus | ntv;07.11.2024;3430;0;0;1030;2470;7671;510;1680;0;310;5131;0;337560;6783742;50158;00:01:12;4569970;384;;;;
ueXIkUgMR2U;"Scholz wusste, ""Lindner kann nur Entlassung akzeptieren"" - Ifo-Chef Fuest zum Ampel-Aus | ntv";07.11.2024;4290;40;70;310;1100;8921;260;2150;10;40;4726;0;264510;6596942;36536;00:01:29;2214680;52;;;;
PQSNBfQ9_Ck;"""In Moskau klopft sich jemand vor Lachen auf die Schenkel"" - Söder über Ampel-Aus | ntv";07.11.2024;3120;150;810;4560;11030;7457;4570;13400;100;1030;3147;0;894970;59842681;315669;00:04:00;33093820;187;;;;
kIAjqRy2BdE;"""Lindner ist seit Sommer Doppelstrategie gefahren"" - Schröder analysiert Regierungskrise | ntv";07.11.2024;660;30;50;370;400;8725;190;1300;10;80;3574;0;157040;6001941;26277;00:02:17;2143030;338;;;;
