video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;aufrufe;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Klickrate der Impressionen (%);Thema;Bewertung_Titel;Gestaltung_Thumbnail
lbHmGIldInA;LIVE: Statement Verteidigungsminister Pistorius;28.02.2024 15:03;751;4043;179,0;23,96;2,0;0;1348;30;18;18;0,0;;;;7,6;;12,1;;15,0;6,3;17,8;12,5;28,8;;;173,0;0;0;0;18;0;18820,0;4,26;Live;6,5;1
Gfv894t4viQ;LIVE: Statement von Außenministerin Baerbock vor EU-Außenministertreffen;18.11.2024 10:12;633;5658;152,0;24,12;1,0;0;2224;20;68;49;0,0;;;1,5;9,0;;14,5;4,5;12,0;9,3;19,6;14,6;15,0;;;337,0;0;0;0;68;0;28634,0;5,5;Live;8,5;3
6RM81d-IOTE;LIVE: Statements Arbeitsminister Heil und Finanzminister Lindner zum Rentenpaket;05.03.2024 11:31;1345;6133;326,0;0,0;2,0;0;1126;16;10;3;0,0;;;;8,7;;19,2;;15,5;6,4;19,5;12,5;18,1;;;121,0;0;0;0;10;0;25002,0;3,34;Live;8,5;2
MVu15gWGre4;LIVE: Aussage Chefin Secret Service vor Ausschuss zu Attentat auf Trump;22.07.2024 16:36;2087;57120;509,0;24,39;13,0;0;6733;48;14;35;0,0;;1,0;1,2;9,9;2,7;18,7;4,1;20,2;5,7;17,2;6,1;13,2;;;943,0;0;0;0;14;0;83936,0;5,42;Live;6,5;3
4z0hbgGbDKs;LIVE: Pressekonferenz der SPD und BSW in Potsdam zu möglichen Koalitionsgesprächen;28.10.2024 10:19;967;8134;235,0;0,0;3,0;0;2069;16;24;10;0,0;;2,9;1,0;8,3;2,5;9,9;2,5;13,7;4,9;17,8;12,7;23,8;;;159,0;0;0;0;24;0;76384,0;1,92;Live;8,5;3
i6pMFFjVeGQ;LIVE: Statements von Verteidigungsminister Pistorius und seinem kroatischen Amtskollegen Anusic;28.10.2024 15:28;247;27350;60,0;24,41;3,0;0;27220;161;44;33;0,0;0,1;0,7;0,4;3,0;1,2;8,3;1,8;12,8;4,9;21,3;10,7;35,0;;;3228,0;0;0;0;44;0;118779,0;7,13;Live;7,5;3
7_30On8wXw8;LIVE: Vorstellung Entwurf Bundeshaushalt 2025 und Finanzplan bis 2028;17.07.2024 14:46;1484;12102;373,0;25,16;3,0;1;1945;18;16;9;0,0;;;;13,3;1,9;18,0;2,1;14,1;8,3;22,0;9,1;11,1;;;134,0;0;0;0;16;0;40544,0;3,63;Live;6,5;3
t1yEBLnPdMg;LIVE: Statement Lindner nach Gespräch mit Verbänden der deutschen Wirtschaft;29.10.2024 12:48;860;72889;217,0;25,24;8,0;1;20145;105;102;48;0,0;0,3;1,7;0,7;6,8;1,8;10,7;3,0;11,1;7,0;17,1;13,8;25,8;;;2391,0;0;0;0;102;0;289546,0;3,57;Live;7,5;3
Yt2gi8NUAIY;LIVE: Pressekonferenz FDP zur Gremiensitzung mit Marie-Agnes Strack-Zimmermann und Bijan Djin-Sarai;22.04.2024 11:56;850;44319;214,0;25,27;9,0;0;12382;72;356;29;0,0;0,2;1,1;0,8;3,8;1,7;7,5;2,1;9,6;7,5;17,5;19,0;29,2;;;1549,0;0;0;0;356;0;341633,0;2,61;Live;8,5;3
B7UEVpI4j1Y;"""Oliver Bierhoff: """"Alles ist drin für die deutsche Mannschaft bei der EM"""" | ntv""";25.05.2024 18:39;312;911;79,0;25,41;1,0;1;690;22;6;7;12,0;;;;;;22,3;;15,1;6,1;24,0;10,6;21,8;;;62,0;0;0;0;6;0;20056,0;1,66;Live;8,5;2
nadgM7ezrT8;LIVE: Erste Rede der ersten gehörlosen Abgeordneten Heike Heubach;10.10.2024 17:10;450;26565;114,0;25,42;17,0;2;13934;275;25;333;0,0;0,6;8,2;2,4;13,8;3,8;12,4;4,5;11,9;6,7;15,0;7,3;13,3;;;2785,0;0;0;0;25;0;117614,0;6,68;Live;7,5;3
Lbugn4NOziI;LIVE: Statement von Nancy Faeser zu aktuellen Themen;01.11.2024 16:39;392;6224;99,0;25,49;2,0;6;3737;72;104;36;0,0;;1,2;;2,7;0,8;5,7;1,6;9,3;8,1;17,5;19,7;33,4;;;217,0;0;0;0;104;0;28825,0;4,12;Live;6,5;3
jcVz5CbSGxs;LIVE: Landung von Assange in Australien;26.06.2024 12:04;1159;80421;298,0;25,78;24,0;1;16150;247;13;42;0,0;0,3;0,9;0,8;3,4;2,8;5,8;6,6;8,0;17,4;13,5;23,3;17,3;;;2269,0;0;0;0;13;0;197691,0;6,2;Live;6,5;3
B_WzWo9GBK0;LIVE: Statement Verteidigungsminister Pistorius und Litauens Verteidigungsminister Kas?i?nas;13.09.2024 09:27;603;4256;155,0;25,78;1,0;0;1643;26;15;9;0,0;;;;9,8;;15,2;;11,6;6,5;19,2;7,9;29,8;;;209,0;0;0;0;15;0;28580,0;3,28;Live;6,5;3
8wGHJU6HNwI;LIVE: Rede von Hubertus Heil zum Rentenpaket im Bundestag;27.09.2024 09:22;975;11953;251,0;25,81;3,0;0;2850;31;10;7;0,0;;;;3,2;1,2;7,8;2,3;10,3;11,2;21,7;18,8;23,8;;;131,0;0;0;0;10;0;48082,0;4,41;Live;8,5;3
bXdFBhtNyxY;LIVE: Bilanz-Pressekonferenz der Deutschen Bahn;21.03.2024 11:18;781;1632;203,0;26,01;0,0;1;482;4;6;3;0,0;;;;;;;;;;;;;;;109,0;0;0;0;6;0;15555,0;2,17;Live;8,5;3
24uNzkZzO5g;LIVE: Statement Bundeskanzler Scholz und  Migrationsbeauftragte Aliban-Radovan;05.02.2024 14:36;319;4087;83,0;26,09;3,0;5;2947;51;124;25;0,0;;;;4,4;1,0;8,5;3,3;9,7;7,3;19,2;16,3;30,2;;;273,0;0;0;0;124;0;79634,0;1,73;Live;6,5;2
BdJKK25eB5E;Live: Pressekonferenz der Linken nach Ankündigung des Rückzugs der beiden Vorsitzenden;19.08.2024 13:19;879;6476;229,0;0,0;1,0;0;1694;14;22;6;0,0;;;;6,4;;8,2;2,0;15,2;6,8;15,4;14,6;31,4;;;97,0;0;0;0;22;0;36434,0;3,31;Live;8,5;3
0tGndE3pJc0;LIVE: Doorsteps Bundeskanzler Scholz beim EU-Gipfel;21.03.2024 12:50;470;4021;123,0;26,25;3,0;2;1956;31;14;20;0,0;;;;6,0;2,9;8,8;4,1;7,5;8,8;18,6;16,0;27,3;;;108,0;0;0;0;14;0;30534,0;4,45;Live;7,5;3
X33Jdccy9m8;LIVE: Pressekonferenz der Staatsanwaltschaft zur vermissten Valeriia;12.06.2024 13:28;1557;351391;408,0;26,26;117,0;4;51557;549;25;263;0,0;0,9;0,5;5,1;1,9;15,2;4,6;15,1;4,5;20,7;5,5;19,7;6,2;;;15713,0;0;0;0;25;0;346031,0;8,52;Live;8,5;2
qnP1gYyjHBc;LIVE: Pressekonferenz mit Bundeskanzler Scholz und lettischer Ministerpräsidentin Silina;27.03.2024 16:24;607;6116;161,0;26,55;1,0;1;2277;47;17;6;0,0;;2,6;;5,9;;11,2;3,2;11,6;5,7;18,4;10,8;30,6;;;76,0;0;0;0;17;0;34668,0;4,32;Live;8,5;3
Y1ReNvk0mrc;LIVE: Aktuelle Stunde im Bundestag;03.07.2024 15:15;1068;83866;284,0;26,61;23,0;3;17708;185;17;66;0,0;;0,6;0,6;2,2;1,3;5,6;3,0;9,6;9,6;20,4;17,2;30,0;;;1092,0;0;0;0;17;0;187663,0;6,74;Live;6,5;2
y5csaIljwj8;LIVE: Statement von Innenministerin Faeser zum Sprengstoff-Gesetz;02.10.2024 12:46;678;4784;180,0;26,64;0,0;0;1589;14;35;8;0,0;;;;9,6;;18,1;3,0;13,9;8,4;18,8;8,6;19,6;;;64,0;0;0;0;35;0;30739,0;3,84;Live;7,5;3
LyR1vyHqGys;LIVE: Pressekonferenz nach einer außerordentlicher BR-Konferenz von Thyssenkrupp;27.11.2024 14:42;969;11763;258,0;26,65;3,0;1;2733;13;3;47;0,0;;;0,9;9,2;0,9;18,7;2,9;20,2;4,8;22,3;4,3;15,7;;;462,0;0;0;0;3;0;37580,0;4,69;Live;6,5;3
azISbEa56bo;LIVE: Statement Deutsche Bahn zur Tarifeinigung;26.03.2024 10:15;682;1715;182,0;26,76;1,0;2;564;7;1;3;0,0;;;;19,8;;27,3;;31,4;9,1;12,4;;;;;124,0;0;0;0;1;0;13748,0;2,57;Live;6,5;1
vt-N7lX-1_4;LIVE: Lindner, Buschmann und Stark-Watzinger erhalten Entlassungsurkunden;07.11.2024 14:31;762;32270;205,0;26,99;7,0;0;9414;60;9;37;0,0;0,6;3,9;1,8;10,2;2,8;13,6;3,6;11,2;7,1;15,8;9,2;20,2;;;1429,0;0;0;0;9;0;64733,0;8,74;Live;6,5;3
zwJxmHeT3zY;LIVE: Pressekonferenz von Rutte als Nato-Generalsekretär;01.10.2024 12:17;439;4380;118,0;27,01;1,0;1;2216;27;10;6;0,0;;3,1;;7,3;1,3;9,4;1,3;12,4;3,4;23,1;9,6;29,0;;;107,0;0;0;0;10;0;53367,0;2,96;Live;8,5;3
VMo-UyK_rGo;LIVE:  Statement Nouripour und Lang zum Rücktritt der Grünen-Parteispitze;25.09.2024 10:45;739;418408;200,0;27,16;70,0;3;125084;1499;235;985;0,0;0,2;1,0;0,9;4,2;2,5;8,8;4,0;11,2;8,9;19,6;14,6;23,9;;;17645,0;0;0;0;235;0;584038,0;9,93;Live;6,5;3
cQnxWyIzOaw;LIVE: Pressekonferenz Tesla;05.03.2024 15:56;1173;13398;319,0;27,23;5,0;1;2517;36;4;62;0,0;;3,4;1,8;10,8;1,7;13,9;1,5;17,6;5,2;16,9;7,6;19,4;;;804,0;0;0;0;4;0;34939,0;3,34;Live;8,0;1
TI3tuAWT35Y;LIVE: Pressekonferenz mit Klingbeil und Woidke nach den Landtagswahlen in Brandenburg;23.09.2024 12:11;1237;8164;337,0;27,29;0,0;0;1451;11;22;0;0,0;;;;10,2;;11,0;2,3;15,7;5,3;18,0;11,2;26,3;;;46,0;0;0;0;22;0;28216,0;4,11;Live;8,5;3
WUHdCLvvl1I;LIVE: Rede von Söder beim politischen Frühshoppen auf dem Volksfest Gillamoos;02.09.2024 11:07;613;33763;168,0;27,51;2,0;0;12014;33;29;60;0,0;0,4;1,8;1,2;5,1;2,6;7,6;4,5;8,9;10,4;16,5;19,0;22,0;;;2876,0;0;0;0;29;0;47759,0;7,6;Live;6,5;3
imk1IxjtKW8;LIVE: Statements Merz und Dobrindt zur Fraktionssitzung;19.03.2024 15:07;904;2007;248,0;27,52;0,0;1;484;6;10;3;0,0;;;;;;;;;;;;;;;41,0;0;0;0;10;0;15319,0;2,49;Live;6,5;3
USfZzB1ASe4;LIVE: Debatte zum Thema Taurus auf Antrag der CDU/CSU-Fraktion;22.02.2024 11:26;1464;34091;403,0;27,57;5,0;1;5068;53;26;21;0,0;;;;2,7;0,5;8,1;1,7;11,8;3,7;24,3;9,5;37,7;;;387,0;0;0;0;26;0;75447,0;4,86;Live;6,5;3
