video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;aufrufe;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Klickrate der Impressionen (%);Thema;Bewertung_Titel;Gestaltung_Thumbnail
Dquy_JgGjvo;"""""""Habe Zweifel, ob Sahra Wagenknecht regieren will"""" - CDU-Spitzenkandidat Redmann im Frühstart | ntv""";27.08.2024 11:37;416;6220;159,0;38,31;2,0;0;2342;25;20;12;33,0;;3,9;;11,5;1,0;10,5;2,3;10,1;4,6;17,7;14,0;24,5;;;122,0;29;1;0;20;0;58041,0;2,32;Politik;6,0;3
feohZT0gsHA;Nahaufnahmen zeigen lodernde Feuer: Großbrand der Kopenhagener Börse | #ntv;17.04.2024 10:09;59;2724;23,0;39,17;2,0;0;7074;74;9;10;0,0;;4,4;;12,9;1,0;17,6;1,6;13,6;4,1;19,2;7,0;18,7;;;511,0;0;0;0;9;11577;15061,0;4,79;Bilder;7,0;1
R2b28MuDfVc;"""Özdemir zu Bauernprotest: """"Bei manchen fragt man sich, ob sie an Amnesie leiden"""" | ntv""";09.01.2024 13:18;306;168932;120,0;39,26;65,0;3;84365;739;2152;292;0,0;0,3;3,2;1,0;9,7;2,2;13,6;3,5;14,1;7,2;19,3;8,9;16,9;;;23061,0;143;0;0;2150;0;1193976,0;4,61;Politik;7,0;1
ocF3urhbcBg;"""""""Unternehmen sind massiv unter Druck"""" - CDU-Wirtschaftssprecherin Klöckner im Frühstart  | ntv""";10.04.2024 10:23;479;6182;188,0;39,33;0,0;0;1969;20;10;9;13,0;;;;6,3;;8,2;2,5;12,9;5,5;20,9;15,7;28,0;;;152,0;7;0;0;10;0;48567,0;2,29;Wirtschaft;7,0;3
FQBmgDQ6kGc;Trump-Attentat inszeniert? - Verschwörungstheorien entlarvt | ntv Faktenzeichen;06.08.2024 16:11;908;214401;359,0;0,0;55,0;2;35775;422;113;211;170,0;0,2;1,1;1,6;6,2;3,3;15,0;3,8;16,4;6,4;21,2;7,6;17,2;;;8102,0;0;0;0;113;0;316659,0;6,88;Sonstiges;7,0;1
quD57mieudw;Haenyo - Südkoreas göttliche Taucherinnen, deren Tradition auszusterben droht | ntv;24.03.2024 13:46;230;1922;92,0;40,12;0,0;1;1250;35;0;14;5,0;;;;13,0;;11,6;;14,4;6,0;20,7;7,7;26,7;;;39,0;6;0;0;0;0;35013,0;1,49;Sonstiges;7,0;1
MHy4JUDxceo;Geländetaugliche Zahnarztpraxis versorgt Soldaten an Ukraine-Front | ntv;09.04.2024 15:04;144;1707;58,0;40,74;0,0;1;1747;37;6;6;20,0;;12,8;;25,6;;19,7;;12,6;;13,0;4,0;12,2;;;154,0;7;0;0;6;0;32503,0;3,14;Krieg;8,0;2
c-ANHlet4Zo;Von London bis nach Lagos: Frau reist mit klapprigem Auto allein durch Westafrika | ntv;17.04.2024 07:43;171;474;69,0;40,83;1,0;1;408;8;2;4;6,0;;;;;;;;;;;;;;;46,0;1;0;0;2;0;12545,0;2,2;Sonstiges;7,0;1
chkgWDzlqs0;"""""""Nichts Vergleichbares"""" - Das macht die Himmelsscheibe von Nebra so besonders | ntv""";05.08.2024 11:14;157;2329;65,0;41,58;0,0;0;2141;23;2;22;4,0;;;;3,9;;7,6;1,2;8,3;10,3;18,3;19,7;30,8;;;559,0;14;0;0;2;0;25409,0;2,5;Sonstiges;7,0;1
iSef2hnXwdE;"""""""Typisch deutsch, es wird diskutiert und nicht gemacht"""" Linnemann im Frühstart | ntv""";22.02.2024 16:52;508;14593;215,0;0,0;5,0;0;4065;105;24;25;0,0;;;;3,2;0,6;4,5;2,2;6,2;10,5;15,6;28,0;29,2;;;163,0;14;0;0;24;0;79555,0;2,76;Politik;6,0;3
