durchschnittliche_wiedergabedauer;aufrufe;Klickrate der Impressionen (%)
77,0;921;3,17
82,0;446099;3,79
45,0;42836;5,94
146,0;11133;3,39
113,0;2066;2,95
65,0;99502;8,87
80,0;253152;2,26
67,0;13617;2,54
275,0;161384;3,55
109,0;30800;2,3
373,0;1945;3,63
151,0;185744;6,71
140,0;2975;2,45
139,0;4384;9,2
97,0;1250;2,14
240,0;7653;5,88
87,0;8920;5,08
84,0;8988;6,5
92,0;19386;5,66
160,0;5970;1,34
93,0;107209;3,82
92,0;166463;2,98
52,0;2390;2,28
76,0;6910;6,91
262,0;5529;6,59
205,0;9414;8,74
172,0;19010;5,24
66,0;2494;6,45
61,0;9860;5,27
93,0;31132;3,98
50,0;1291;4,03
53,0;33554;1,98
102,0;16759;9,4
144,0;5850;1,04
35,0;13830;4,52
187,0;8980;2,5
57,0;50010;1,54
82,0;2338;1,71
341,0;2314;3,95
113,0;567;1,36
64,0;2671;3,49
298,0;4342;3,14
72,0;32612;4,97
66,0;1863;4,87
112,0;1533;3,03
73,0;396170;4,35
277,0;14699;7,51
151,0;60054;4,54
77,0;1024;2,49
147,0;3785;5,22
47,0;682;1,64
72,0;1614;3,1
164,0;1019;2,77
106,0;96116;4,01
55,0;70921;7,91
55,0;2849;6,9
294,0;97249;3,94
53,0;98008;21,95
54,0;1429;1,48
67,0;61958;3,85
56,0;75590;2,16
177,0;4452;6,16
56,0;18470;4,31
64,0;661;2,19
163,0;7577;3,89
59,0;3560;1,58
301,0;39531;5,53
202,0;1958;2,67
281,0;6674;5,09
190,0;7432;5,83
243,0;2295;2,76
57,0;45397;1,16
55,0;25752;3,27
67,0;121927;5,07
137,0;122297;7,01
193,0;1912;4,04
170,0;5200;4,9
51,0;159553;1,62
56,0;217284;7,51
52,0;440;1,8
96,0;38311;5,75
150,0;47384;5,89
150,0;1815;1,07
100,0;687;2,01
158,0;24005;1,72
80,0;104126;2,06
65,0;372;1,3
27,0;41761;5,69
67,0;17987;7,64
206,0;549;1,17
248,0;632;2,81
115,0;4697;3,99
120,0;3788;3,12
141,0;5432;3,04
79,0;67325;6,02
235,0;34997;5,79
209,0;200974;6,56
142,0;45065;1,86
65,0;4024;4,1
110,0;1158;3,63
228,0;699;2,3
168,0;25984;2,68
197,0;4072;3,17
50,0;8403;1,0
43,0;2033;3,31
108,0;56624;3,92
176,0;964;1,46
89,0;88924;2,74
154,0;7548;4,46
181,0;6474;3,62
272,0;3305;4,26
69,0;650;1,71
108,0;51250;1,43
97,0;42394;7,06
184,0;22580;3,49
50,0;37308;1,69
91,0;4104;5,55
126,0;72407;7,36
60,0;656;2,81
60,0;4826;5,77
152,0;439;2,07
61,0;14805;6,57
425,0;12356;1,4
100,0;6333;3,34
71,0;5525;4,94
304,0;6967;5,83
588,0;143766;13,57
46,0;20379;9,2
55,0;4932;3,18
138,0;384739;4,51
98,0;61277;2,68
44,0;5122;7,49
152,0;75356;4,17
244,0;805;1,47
114,0;3754;4,91
95,0;956787;5,7
38,0;497967;7,71
72,0;425;1,93
78,0;1201;1,83
61,0;10237;6,93
112,0;8792;5,06
80,0;30035;3,91
144,0;7346;2,28
104,0;649;1,63
83,0;86093;1,6
324,0;33614;2,62
156,0;2523;1,61
579,0;36786;4,71
127,0;819;3,88
105,0;11169;5,13
67,0;13620;2,27
89,0;15847;3,3
71,0;59948;2,85
73,0;7288;6,52
128,0;3025;4,82
69,0;628504;6,86
83,0;2813;2,32
88,0;2515;1,75
80,0;2998;4,3
173,0;3631;5,17
81,0;11693;3,18
177,0;18237;7,85
161,0;2177;3,39
231,0;2172;2,21
65,0;25040;7,68
65,0;2141;2,5
94,0;25247;4,16
66,0;1818;2,3
119,0;1987;2,86
35,0;27854;5,46
53,0;14439;1,68
69,0;70434;2,27
67,0;6382;2,31
93,0;26681;7,55
