video_id;audience_female_age13-17;audience_male_age13-17;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_male_ageage13-17;audience_female_ageage18-24;audience_male_ageage18-24;audience_female_ageage25-34;audience_male_ageage25-34;audience_genderUserSpecified_ageage25-34;audience_female_ageage35-44;audience_male_ageage35-44;audience_genderUserSpecified_ageage35-44;audience_female_ageage45-54;audience_male_ageage45-54;audience_genderUserSpecified_ageage45-54;audience_female_ageage55-64;audience_male_ageage55-64;audience_female_ageage65-;audience_male_ageage65-;audience_female_ageage13-17;audience_genderUserSpecified_ageage65-;audience_genderUserSpecified_ageage55-64;audience_genderUserSpecified_ageage18-24
UOs9Fwc9HEE;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;5,10;1,20;16,50;nan;2,00;15,60;nan;2,40;12,30;nan;4,30;14,70;9,10;16,80;nan;nan;nan;nan
LvXYOOyf_Nw;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;nan;nan;4,10;nan;nan;3,70;nan;3,10;10,60;nan;9,50;29,00;11,70;28,30;nan;nan;nan;nan
nUoGYbdZ7Zs;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,40;3,10;1,10;9,20;0,00;2,10;13,70;nan;3,10;12,80;nan;6,90;16,80;13,00;17,70;nan;0,00;0,00;nan
pobdxpcijac;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;3,80;1,10;9,30;nan;1,90;13,00;nan;3,10;14,00;nan;6,10;17,70;9,10;20,90;nan;nan;nan;nan
JEcs4ljhkT4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,20;2,20;0,50;6,20;nan;1,70;8,10;nan;2,80;8,30;nan;7,90;16,80;17,30;28,00;nan;nan;nan;nan
Gmdj4Ckv7CQ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;4,20;1,20;13,40;nan;1,70;17,50;nan;2,20;14,60;nan;3,60;16,90;7,00;17,80;nan;nan;nan;nan
ExNaxaPpHaQ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;1,70;1,40;7,00;nan;2,30;12,30;nan;2,90;11,50;nan;7,30;17,40;12,00;24,20;nan;nan;nan;nan
4-WBZdZ6Lys;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;3,50;12,20;4,20;12,50;nan;3,20;19,60;nan;nan;15,10;nan;3,50;10,90;5,50;9,60;nan;nan;nan;nan
Pn1fi28iecU;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;nan;nan;11,00;nan;nan;10,70;nan;nan;16,50;nan;3,70;21,00;12,20;25,00;nan;nan;nan;nan
UNZ3LEg4yHY;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;11,80;16,00;7,60;10,10;nan;13,20;14,90;nan;6,50;10,10;nan;0,60;3,00;0,90;5,20;nan;nan;nan;nan
