video_id;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-
naVKpNjPZBY;1,80;5,10;1,90;9,90;nan;10,20;1,40;9,10;6,50;16,70;13,10;24,30
oTru8XFO_P4;0,40;5,40;2,00;23,50;2,20;27,50;2,10;15,20;2,30;10,80;2,20;6,40
iDN_yon_9E8;0,00;3,80;0,40;10,70;0,60;15,10;0,90;14,50;2,00;21,10;4,10;26,80
fzXfzDUNqXI;nan;2,80;1,10;13,80;nan;20,10;2,30;17,00;1,00;20,00;2,30;19,40
2-D7mf7J2fc;nan;nan;nan;15,40;nan;24,00;8,20;15,40;5,30;18,80;nan;13,00
hbQrJ5Gm_nI;nan;nan;nan;7,80;5,70;18,10;3,90;15,70;6,60;16,00;6,90;19,30
_O3yVKvT1H8;0,10;1,20;0,30;6,60;0,60;14,60;1,00;17,80;1,90;24,80;3,60;27,60
MawjvthLFpw;nan;nan;nan;7,60;nan;19,10;3,40;19,30;7,00;18,50;9,40;15,70
RE1ggWHP2Zw;nan;nan;nan;2,10;0,60;7,30;2,20;12,70;7,30;28,00;11,20;28,70
j-0Yhr0VE6I;nan;2,60;0,60;23,30;0,60;28,50;0,80;16,70;2,00;13,60;2,80;8,40
cLpI6c5nO3w;nan;5,10;3,20;10,50;1,50;10,70;nan;10,40;2,90;22,40;9,20;24,20
YkJefM_cN3o;nan;11,60;1,60;26,10;1,80;26,80;2,00;11,40;nan;10,00;nan;8,80
b2YQPOlpm08;0,60;6,60;1,20;15,90;1,90;16,90;2,30;13,50;4,40;14,60;5,80;16,30
ASNr0I_IjzE;nan;nan;nan;2,10;0,50;5,00;1,20;11,00;5,40;28,30;12,60;33,90
o3oyNK_icho;nan;1,90;nan;4,50;1,40;7,70;2,60;13,20;5,70;21,00;10,10;32,00
rRK0BRuSIQ4;0,30;4,30;1,20;9,60;2,80;10,30;4,70;10,10;9,80;13,50;16,20;17,10
BwXoodtRy9E;1,30;3,00;0,70;8,20;2,30;9,70;0,80;9,70;2,30;19,70;2,70;39,50
_Wi220gafQ8;nan;3,50;1,30;12,60;2,60;15,90;6,50;11,30;5,90;13,90;12,00;14,60
iMiHuGe__h4;nan;nan;nan;6,30;nan;11,30;nan;13,00;4,10;17,90;13,20;34,20
uYvFkLbezxk;0,60;3,80;2,60;13,30;2,90;16,30;3,90;13,60;6,10;14,60;8,80;13,40
Me6mTwCdPt8;0,40;3,30;0,90;7,30;1,50;9,70;2,80;10,60;7,20;19,70;12,50;23,80
RdbpM5KcpHE;0,10;1,20;0,30;4,90;0,60;9,50;1,50;14,10;3,90;24,40;7,30;32,30
eIiF6Gc2IP8;0,40;2,40;0,60;9,40;1,60;11,40;2,00;12,60;4,60;19,30;10,30;25,50
MhoN6AqjIRo;0,10;1,00;0,50;3,70;0,90;7,10;1,90;10,60;5,50;20,60;15,10;32,80
-8DJNqQU4r4;nan;4,80;2,70;13,70;6,10;21,60;5,40;15,10;4,80;10,80;5,60;9,40
HWtnYiBDoh0;1,80;11,30;4,10;27,20;3,30;20,00;2,30;10,90;2,10;8,60;1,80;6,60
e4VEHiWCQmw;1,20;8,10;2,70;17,90;3,70;17,40;4,00;12,00;5,80;11,40;6,40;9,20
f11BVDo9UFA;nan;5,70;1,60;19,30;nan;20,30;1,20;12,90;1,60;14,20;5,90;17,20
oar58icxNls;0,40;7,40;1,60;20,50;2,20;19,20;2,00;15,80;3,20;14,30;3,10;10,20
jXuv2rVqLZM;0,20;1,80;0,40;6,10;0,80;12,10;0,90;15,30;2,10;23,80;4,40;32,00
pjljLV1RHUw;1,40;7,90;3,40;17,40;3,40;14,00;3,50;10,20;5,30;12,00;8,30;13,20
0J7BjiDOOnw;0,90;6,70;1,80;13,30;2,40;14,10;2,90;12,00;5,30;15,80;7,50;17,00
GX8gDikTZGk;nan;nan;nan;12,50;nan;14,80;4,00;19,20;8,10;15,80;7,70;17,80
kWsadMypLPg;nan;nan;nan;4,00;nan;12,00;nan;14,00;2,40;28,60;4,50;34,50
Q406j5iuuBc;nan;nan;nan;16,90;nan;24,60;nan;18,80;nan;20,40;nan;19,20
4SEVbM5rIZg;nan;nan;nan;nan;nan;7,60;nan;11,80;6,50;14,30;23,20;36,60
MyzDFxh-S-A;0,20;2,60;0,60;7,90;1,30;12,70;1,60;12,60;3,30;19,20;7,00;30,70
dY9ptmmG9ak;nan;nan;nan;10,30;4,50;19,30;3,40;20,30;4,50;15,80;7,10;14,80
bzYLvyHxweY;nan;6,30;nan;9,60;nan;11,70;nan;14,90;3,60;20,20;7,00;26,70
vRzIKcOLisM;0,50;2,10;1,00;6,10;1,60;9,40;2,10;11,70;5,00;19,00;11,50;30,00
4srykZJzJ4U;0,20;1,40;0,60;5,20;1,50;9,60;2,60;10,80;8,20;20,00;15,10;24,90
uYhTT3OXDLE;1,10;7,70;1,90;15,70;2,40;14,00;3,30;12,00;6,30;14,70;7,80;12,90
EewcWZ0QLg0;1,00;8,50;2,10;18,30;2,20;14,00;2,40;9,80;4,60;13,10;8,20;15,70
UECJGUdT5qo;0,60;5,40;3,10;17,10;3,30;18,20;3,80;13,50;4,10;14,00;4,60;12,30
WKRwEiU9RwQ;nan;3,80;nan;8,20;0,20;10,60;0,70;14,60;2,20;25,60;4,20;29,80
we-AdAdJFr8;nan;0,30;0,30;1,30;0,60;4,80;1,70;9,20;7,50;27,10;15,30;32,00
0QnbSWp7FeA;0,10;2,70;0,20;7,50;0,60;15,90;0,80;19,50;1,40;27,20;1,40;22,70
5_MQWrZ5Xus;0,70;2,30;4,20;18,30;4,50;19,00;4,40;10,60;5,20;10,40;7,90;12,50
8r9MZ9jqxdY;0,70;5,30;1,70;12,00;2,40;11,10;3,60;9,90;6,90;13,70;14,20;18,30
F4Mo2OZbbUo;1,30;4,30;3,00;10,50;3,80;14,00;8,30;11,40;10,80;11,90;9,70;11,00
cjycaWfvjiE;nan;nan;1,40;11,70;1,50;11,50;1,60;9,80;9,40;16,40;14,40;22,40
VUcK1BI1Vb4;nan;2,70;nan;8,30;1,00;13,70;0,80;12,80;3,60;20,40;8,60;28,20
y0fW2MzSu5o;0,20;3,40;nan;5,20;0,40;8,70;1,30;11,80;4,00;22,60;9,40;33,20
7RZHa_3yiH8;0,10;0,70;0,40;2,50;1,00;5,40;2,30;8,60;7,00;19,80;20,30;31,80
OsruDHXI_lk;0,20;1,10;1,30;5,00;4,40;8,80;8,20;9,20;16,20;14,10;17,30;14,20
hv8FWMCxV7k;nan;5,00;0,80;7,80;0,90;11,00;1,50;11,90;3,40;21,90;8,10;27,70
Dhke6RJPSd0;nan;nan;nan;4,00;nan;3,20;nan;;7,10;19,90;25,50;40,20
uziPaYHbEGY;nan;2,00;0,30;6,90;0,50;10,60;0,80;12,30;4,70;24,10;10,40;27,40
yBOBxfOStes;1,20;2,70;1,40;8,60;3,30;12,60;2,90;11,00;6,00;18,10;9,60;22,00
F94ZQMekr7g;0,70;4,60;1,70;11,70;2,60;12,60;3,40;12,50;7,10;14,90;10,70;17,50
gGUHLLY3yT8;0,90;4,50;2,40;11,10;4,10;14,60;5,30;12,90;7,30;15,90;7,70;13,10
VEZNt7FFaU8;nan;6,00;nan;13,20;0,70;17,60;0,90;17,30;1,80;21,00;4,50;17,00
VeHYPKqGorc;0,10;1,90;0,40;6,60;0,70;13,40;0,90;17,20;2,20;27,10;3,20;26,20
djqqHDxfBZE;1,00;10,80;1,90;20,00;2,20;17,20;2,30;12,50;3,90;13,00;4,50;10,40
p5BPb8gE7z0;nan;1,60;0,50;5,00;0,50;6,30;0,50;5,50;4,30;29,10;13,50;33,20
9bl63vOaSGw;0,10;1,00;0,40;6,20;0,90;16,40;1,40;20,20;2,40;29,10;2,30;19,50
Mtli24ECSZA;0,80;4,60;1,90;14,50;2,50;18,70;3,70;13,00;5,80;14,70;7,00;12,90
Rrp5Z-pp_Hc;nan;3,50;1,00;6,70;2,20;10,40;3,10;10,70;6,60;16,20;16,10;23,50
tFeBb18CyQk;nan;0,90;1,90;11,00;2,30;17,00;1,60;16,60;3,90;18,20;5,40;21,30
NgaQxeh5uOc;0,20;2,50;0,60;6,10;1,20;12,30;2,10;15,90;4,10;23,90;6,30;24,70
1c2-3Wv-gMc;0,40;13,30;2,20;21,60;1,70;12,40;1,80;9,20;2,70;11,30;6,60;16,90
mCt6HlgKn5c;nan;2,70;nan;8,20;2,50;7,00;2,70;8,50;6,40;10,10;18,90;33,10
qLQmVB5Dza0;nan;1,40;0,20;5,60;0,60;13,80;0,80;17,30;1,70;27,10;3,00;28,40
HGv2ZOmy9rA;0,80;6,50;4,20;17,30;3,70;19,10;3,90;15,80;4,70;12,60;3,00;8,50
jYeG2lv7cxo;0,80;7,30;2,30;18,00;3,40;18,40;3,10;13,60;3,90;13,20;3,90;12,10
wnULAtGLpWk;1,10;10,00;2,70;20,90;2,80;18,00;3,10;11,80;4,10;11,70;4,40;8,90
dkWm2NyiY2g;nan;5,10;0,40;9,70;1,10;16,30;0,70;17,90;2,10;25,20;2,30;18,30
orX9rCsMOfs;0,60;10,50;1,20;19,40;1,40;16,50;1,30;12,40;2,10;14,90;3,00;16,60
Onl3EWeiMcA;0,50;5,60;1,30;15,00;1,80;17,50;1,90;13,80;3,20;16,80;4,80;17,90
axFjD_AfX1I;nan;nan;nan;10,30;nan;13,60;2,90;14,00;3,50;23,10;7,10;25,50
_KE72foVZIg;nan;nan;nan;nan;nan;19,50;nan;23,20;nan;20,50;11,40;25,40
TJeTR7guLYc;nan;nan;nan;16,70;nan;22,60;nan;13,10;nan;18,50;3,00;26,20
O_z-92ZTHiM;nan;1,10;nan;5,50;0,60;5,40;1,90;6,60;5,50;16,40;21,50;35,40
2NKfAgTEnYc;nan;5,20;nan;10,90;nan;17,40;nan;20,60;3,00;23,80;2,70;16,40
iLyIqW_Vyds;nan;5,50;0,60;15,00;1,60;18,20;1,50;16,10;3,40;18,90;4,20;14,90
GxrkXCcEeY0;1,00;8,50;1,90;15,50;1,80;12,60;2,10;8,70;4,50;13,90;7,90;21,40
H8r9R_cAghQ;1,60;6,90;3,20;12,10;3,50;13,40;3,10;12,00;4,40;15,80;5,80;18,30
mvzofvu6G60;nan;2,60;0,60;8,70;1,50;10,40;3,30;13,00;5,20;19,10;8,80;26,90
rQ5Heh8VbO0;nan;12,10;nan;14,80;2,80;17,40;nan;10,50;nan;16,00;7,70;18,60
_g2gsCv7u0A;0,20;1,70;0,90;8,00;1,60;14,60;1,60;17,30;3,30;25,40;4,30;21,10
INYF8DfsJak;0,90;5,90;2,60;14,00;3,40;14,20;3,10;11,10;7,80;12,10;11,40;13,40
bigOrPPdSb0;nan;nan;2,10;8,10;nan;15,50;nan;14,30;6,20;16,30;14,00;23,40
nJ2jnjKH5lA;nan;nan;nan;10,10;nan;10,10;nan;12,00;6,40;17,40;15,70;28,30
BYC4CFD6qwk;nan;4,70;1,40;8,30;2,60;15,20;2,50;12,00;4,70;20,20;5,70;22,60
KGh6jcLbrjM;0,30;3,00;0,50;5,70;0,60;6,70;1,80;7,40;5,40;19,80;14,70;34,10
wA3TmMyKAtY;0,30;6,60;1,40;17,10;1,80;16,00;2,60;11,70;4,80;13,60;8,30;15,80
LxxuJgMHL2A;0,00;1,60;0,30;5,20;0,90;10,10;1,40;14,00;4,10;24,00;8,30;30,20
1RXxnL4qxpY;nan;4,10;1,10;23,10;1,50;35,40;1,10;18,20;1,30;8,30;1,30;4,40
XKKr8DR7ErY;0,20;2,50;0,80;12,00;1,40;17,80;2,10;15,80;4,10;20,10;6,20;17,10
OVug1cZy300;0,10;0,80;0,40;3,60;1,10;9,10;2,00;12,70;5,00;22,60;10,50;31,90
Jo9eWJQ4G-8;0,70;5,60;1,70;14,70;2,30;18,00;2,80;14,50;5,20;15,80;5,90;12,50
nATngRiW3bY;0,30;1,30;0,70;4,20;1,30;7,80;2,60;10,70;6,50;19,20;15,40;29,80
y_uZDzrb_C4;nan;nan;nan;4,40;1,30;8,50;2,60;7,40;5,70;19,00;15,70;35,40
2i9YS9ek0tM;nan;2,20;nan;8,20;1,40;16,00;2,50;13,50;4,20;20,50;7,00;24,40
ehAG2edVcGw;0,40;3,10;1,10;8,60;2,50;11,60;3,80;11,80;8,00;15,50;14,20;19,30
gbKDKGPZOXE;nan;4,60;0,00;10,10;nan;8,90;2,00;9,90;2,00;16,30;11,70;34,40
oj1AY-HkthE;nan;1,20;0,30;3,40;0,70;7,40;2,00;11,10;4,90;22,50;12,20;34,40
zHgVK58F2Ho;2,20;12,60;3,50;21,50;2,70;14,30;2,90;9,20;4,40;10,00;5,80;10,60
WmptJsPA7b0;nan;nan;nan;2,40;0,80;4,80;2,70;7,50;8,70;17,80;21,70;33,70
AE9edb8TfSE;nan;4,80;1,00;12,80;1,80;13,40;4,30;14,50;4,70;16,70;9,80;16,20
wwXoWjo0_W4;0,70;3,70;1,80;10,50;2,90;13,90;4,30;12,00;8,10;15,50;11,60;15,00
J2i9EMABtKw;nan;nan;nan;8,90;nan;18,60;nan;17,40;5,00;19,00;10,10;20,90
qwtgbCPUUxc;nan;nan;nan;10,70;nan;20,50;nan;15,80;7,00;19,50;11,60;14,90
JqxcW6ughJo;0,10;1,80;0,70;8,00;1,40;16,60;2,00;16,40;3,90;22,90;5,40;20,80
egYK1cr_Who;nan;1,20;nan;4,80;0,40;8,60;0,70;14,00;2,50;27,50;5,50;34,80
15TLucEPbr4;1,60;12,50;3,10;23,60;3,70;15,10;3,70;9,50;5,20;7,90;5,70;8,40
VLObAejMc1s;0,70;4,30;1,20;9,10;1,90;11,10;2,00;9,70;6,00;18,00;12,00;23,80
ZM8L6vPK1pA;0,20;1,40;0,30;5,80;0,80;12,90;1,00;16,10;1,60;28,10;2,20;29,60
D3BniERNJoQ;4,70;10,60;7,80;15,30;5,30;9,10;5,20;6,60;8,80;7,00;12,20;7,50
nTTVUxKmBMY;1,30;6,60;2,90;10,20;3,90;12,20;4,80;7,90;9,00;11,40;14,70;15,10
QekmMmGdVzQ;0,10;0,80;0,20;3,40;0,60;9,70;0,90;15,00;2,00;28,00;3,40;35,90
gHFwwMMzGvQ;nan;1,60;0,30;6,30;0,80;12,60;1,30;14,70;3,70;23,10;7,30;28,20
gxDR_1nGBfE;nan;5,20;1,60;29,30;3,80;30,80;3,40;9,30;3,20;5,30;1,10;6,80
2Ea6tl0YY5s;nan;2,90;0,90;9,40;1,10;11,40;1,20;9,80;3,90;18,10;16,70;24,50
P7shMTOnavI;nan;1,70;nan;4,00;nan;10,10;nan;13,20;6,10;28,00;9,00;28,00
RCIF_EYzUCI;nan;4,00;nan;16,80;1,50;22,60;2,30;14,60;3,10;17,10;3,90;13,80
PFmlPOfywsM;0,80;5,90;1,50;13,50;2,70;10,50;3,10;9,40;7,30;14,10;13,80;17,30
