video_id;Videotitel;Veröffentlichungszeitpunkt des Videos;Dauer;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;„Mag ich“ und „Mag ich nicht“ im Vergleich (%);„Mag ich nicht“-Bewertungen;Im Feed angezeigt;Geschätzter Umsatz (EUR);Impressionen;Klickrate der Impressionen (%)
OeiND4lG3E8;"""Ein schwarzer Dienstag für Charkiw"" - ntv-Reporter erlebt Angriffe hautnah mit | ntv";24.01.2024;133;8936;312;0;0;4948;389;0;;1267678;223
oeCrKQTyerU;"""Gehsteigsbelästigungen"" werden verboten - Familienministerin Paus im #Frühstart | ntv";24.01.2024;521;797;10;0;0;2813;138;0;;171864;264
ZM8L6vPK1pA;Im Extremtiefflug zuschlagen: Hochriskante Helikopter-Manöver ukrainischer Kampfpiloten  | ntv;24.01.2024;105;2049;244;0;0;8547;34;0;;163183;919
hlziPTruUbs;Windrad brennt lichterloh - Feuerwehr bei Greifswald kann nur zusehen | ntv;24.01.2024;51;1488;113;0;0;8161;16;0;;45251;563
h0w6KSQ36MU;Windrad brennt lichterloh - Greifswalder Feuerwehr schaut zu | #ntv #shorts;24.01.2024;48;6478;0;0;0;8895;63;57774;;31864;416
FFh3LimpZp8;"""Eins kann nicht in Frage gestellt werden: Die Demokratie"" - Familienministerin Lisa Paus | #ntv";24.01.2024;48;431;0;0;0;396;61;6171;;16328;307
UY4fYM3KKxc;Tote bei Tanklaster-Explosion in der Mongolei | #ntv #shorts;24.01.2024;53;329;0;0;0;8421;6;5157;;13388;231
AkHOwd8KMpI;Haarsträubend! Flugzeugtreppe erschlägt Mitarbeiter beinahe | #ntv #shorts #brasilien;24.01.2024;43;587;0;0;0;9091;4;5774;;12945;302
Pd7mJpSnJ-4;"Was geschah mit russischem Flieger? Absturz-Zeugen: ""zwei Explosionen"" und ein ""roter Blitz"" | ntv";25.01.2024;188;18764;793;0;0;8053;125;0;;1956131;363
sMx7p41L0eA;Technik, Reichweite, Schleich-Flug - Was kann Taurus, das Storm Shadow nicht kann? | ntv;25.01.2024;288;87410;239;0;0;7352;210;0;;846764;402
mvv1WXuhGVo;LIVE: GDL-Chef Weselsky in Stuttgart zum Streik;25.01.2024;1782;12750;0;0;0;9549;44;0;;304905;378
tQnec9UUZeI;"Bahn-Sprecherin im Frühstart: ""Setzen wir GDL-Forderungen um, fehlen uns Lokführer"" | ntv";25.01.2024;374;698;11;0;0;4632;51;0;;89446;291
oc8yM4FYBPA;Militärflugzeug rauscht haarscharf über Häuser und Köpfe | #ntv #shorts;25.01.2024;50;1505;0;0;0;8947;24;37032;;38315;405
Xb81ZT9XNbI;Bei Vergewaltigungsversuch verbrannt - Mord an reisender Künstlerin erschüttert Brasilien | ntv;25.01.2024;148;134;19;0;0;9744;1;0;;32920;39
ao8dAZdPm7U;Russland: Ukrainische Drohne setzt Ölraffinerie in Brand | #ntv #shorts #russland;25.01.2024;57;1637;0;0;0;7901;127;47420;;25732;312
eprNxyRx1v8;"""Wir müssen uns nicht schämen!"" - GDL-Chef Weselsky auf Stuttgarter Streik-Kundgebung | ntv #shorts";25.01.2024;39;555;0;0;0;7453;95;9822;;22703;281
s0u-WqOSLFI;"""Dann würden uns auf einen Schlag Lokführer fehlen"" - Bahn zu GDL-Forderung | #ntv #shorts";25.01.2024;53;483;0;0;0;6543;28;7381;;9525;238
Piuul4Yk8Eg;"Taurus? ""Haben Trump-freie Zeit in Europa nicht genutzt"" - Strack-Zimmermann versteht Kritik| ntv";26.01.2024;283;4952;90;0;0;2638;1097;0;;903173;23
u4JoCMb3lso;"Neue Parteien werden ""ein riesiges Problem"" - Von Lucke zu Wagenknechts und Maaßens Chancen | ntv";26.01.2024;282;3073;106;0;0;5885;300;0;;349180;625
Q66dP-Ef0WA;LIVE: Trainerlegende Jürgen Klopp erklärt seinen Abschied von Liverpool;26.01.2024;1511;3530;0;0;0;9541;5;0;;157396;472
kU_aHjzMU6o;Russland zeigt erste Aufnahmen von Il-76-Absturzstelle | #ntv #shorts #russland;26.01.2024;60;1030;0;0;0;7594;77;59341;;25680;565
LAu9OGuSmn4;Den ntv Auslandsreport seht ihr freitags um 17.30 Uhr oder auf RTL+|  #ntv #shorts #auslandsreport;26.01.2024;28;435;0;0;0;95;2;5967;;18489;371
Xy6fj7H-nsE;Den ntv Auslandsreport seht ihr freitags um 17.30 Uhr oder auf RTL+|  #ntv #shorts #auslandsreport;26.01.2024;20;232;0;0;0;6522;8;4414;;11918;132
a_H5-NXtXgw;Sylt: Sturm spült riesige Wetterboje an | #ntv #shorts #sylt;26.01.2024;44;730;0;0;0;9487;2;5675;;11028;269
nxXGgQD05PQ;Bauern-Proteste in Frankreich: Landwirte wollen Straßen nach Paris blockieren | #ntv #shorts;29.01.2024;59;13502;0;0;0;9612;155;110827;;62909;304
m4vXMvXnRqs;"AfD-Pläne ""Unfug"" - So gefährlich wäre ein ""Dexit"" laut IW-Chef Hüther | ntv";29.01.2024;307;145;2;0;0;5962;42;0;;31910;305
mGydVwxMk-Q;Größtes Kreuzfahrtschiff der Welt sticht in See | #ntv #shorts #iconoftheseas;29.01.2024;59;1161;0;0;0;8413;10;8204;;11506;181
i0gV_wkm-jM;"""Wir müssen über illegale Migration sprechen"" - CDU-Politikerin Gitta Connemann im Frühstart | #ntv";29.01.2024;36;413;0;0;0;5109;45;7433;;8406;236
nCBjFpKoX1k;Explosiver Crash in Ohio: Tanklaster geht in Flammen auf | #ntv #shorts #ohio;29.01.2024;53;300;0;0;0;8421;3;3465;;7372;32
AA7LZgX21sg;"""Die erste Welle der Russen ist reines Kanonenfutter"", so Reisners Blick auf die Front | ntv";30.01.2024;269;32130;782;0;0;7651;459;0;;1483124;528
GgxtbsgHzVU;"""Die erste Welle der Russen ist reines Kanonenfutter"" - Reisners Blick auf die Front | ntv";30.01.2024;269;21233;318;0;0;8286;181;0;;874760;543
WK8keAoT2zA;"""Müssen bei AKP-Ableger ganz genau hinschauen"" - FDP-Politiker Dürr im Frühstart | ntv";30.01.2024;407;1745;44;0;0;2394;108;0;;591117;89
3Ynl-kGMzGM;Erdogans Schatten über der EU? Politik alarmiert über deutschen AKP-Ableger | ntv;30.01.2024;87;1430;38;0;0;6359;71;0;;232289;211
BlOtsr7RjIU;Russland: Drohnenvideos sollen Putins luxuriösen Landsitz zeigen | #ntv #shorts #russland #putin;30.01.2024;60;2426;0;0;0;7146;141;82235;;23866;33
SrLVb1iYsSo;Erfolgreicher Jungfernflug in China: Kleinflugzeug mit Wasserstoffantrieb hebt ab | #ntv #shorts;30.01.2024;45;384;0;0;0;9074;5;5412;;12384;182
r1fqCQq5JKA;Westjordanland: Israelisches Militär dringt in Krankenhaus ein | #ntv #shorts #westjordan #israel;30.01.2024;60;1057;0;0;0;6966;44;16407;;11560;444
X8QWdOTyhpo;"""Sei ein Mensch"", Baerbock weint - Tränen im Bundestag: Marcel Reifs Holocaust-Gedenk-Rede  | ntv";31.01.2024;689;200694;0;0;0;6684;3777;0;;5584722;566
B3LBepsyUnk;"""Sie sind eine Mimose"" - Kanzler Scholz schießt im Bundestag laut gegen Merz zurück | ntv";31.01.2024;405;25694;1274;0;0;3672;1699;0;;1993476;306
YwGlBEBeFrk;"""Genug ist genug!"" - Merz knöpft sich erst die Ampel, dann die AfD vor | ntv";31.01.2024;370;15581;0;0;0;3098;2094;0;;1424612;326
licoXfYz7-I;Baerbock zu Tränen gerührt: Marcel Reif hält Holocaust-Gedenkrede im Bundestag | #ntv #shorts;31.01.2024;59;7019;0;0;0;755;231;59644;;177535;62
MfgMElpdo2g;LIVE: Generaldebatte im Bundestag;31.01.2024;5953;3487;0;0;0;6193;83;0;;172073;303
As2-d4ulxls;Steuermillionen für Radwege in Peru? SPD-Ministerin Schulze verteidigt sie im #Frühstart | ntv;31.01.2024;402;1648;9;0;0;1645;127;0;;33111;708
_6ioEaxz63w;LIVE: Gedenken der Opfer des Nationalsozialismus;31.01.2024;4731;122;0;0;0;7568;9;0;;24834;147
WKRwEiU9RwQ;Brasilien: Luftwaffe schießt auf Kleinflugzeug | #ntv #shorts #brasilien #cessna;31.01.2024;56;1563;0;0;0;7581;30;32311;;15015;353
X-CSlAP17ak;Brasilien: Fluss nach Lasterunfall mit Säure verschmutzt | #ntv #shorts #brasilien;31.01.2024;57;391;0;0;0;9091;2;3606;;9550;182
FjQDzodIpAM;Polizei tötet mutmaßlichen Angreifer in Frankfurt | #ntv #shorts #frankfurt;31.01.2024;48;805;0;0;0;9333;8;10628;;8547;467
mcSX0NhKH1E;"""Wir brauchen Partner in der Welt"" - Bundesentwicklungsministerin Svenja Schulze im Frühstart #ntv";31.01.2024;49;620;0;0;0;249;181;10062;;7208;241
gDRZrXDFTVk;"""Schlusslicht""-Konter zum Einstieg - Habeck arbeitet sich an Merz ab und macht ein Angebot | ntv";01.02.2024;339;24948;1614;0;0;2095;3761;0;;2052673;321
T5lsX3-PAws;Vergiftetes Geschenk für Habeck - CDU-Politiker nimmt Schlusslicht mit in den Bundestag | ntv;01.02.2024;388;7506;540;0;0;9424;93;0;;637280;441
NWs9_pNufls;"""Geduld mit Viktor Orban ist bei allen am Ende"" - Katarina Barley im Frühstart | ntv";01.02.2024;394;484;10;0;0;4148;79;0;;74768;235
BwXoodtRy9E;"""Ich hatte schon viele Würstchen"" - Heidi Klum plaudert ungeniert intime Sex-Details aus | ntv";01.02.2024;124;1557;14;0;0;4545;18;0;;70348;499
a5enJeC1-Ns;Proteste in Magdeburg eskalieren: Landwirte kippen Gülle auf die Straße | #ntv #shorts #magdeburg;01.02.2024;59;35682;0;0;0;9621;382;318794;;58149;51
hAU278EEmkc;Zuckerberg entschuldigt sich widerwillig für Schäden an  Kinder durch Meta | ntv;01.02.2024;192;611;43;0;0;9167;4;0;;47014;438
syPAGFFZIEU;Politiker-Prügelei im Parlament der Malediven | ntv;01.02.2024;43;78;0;0;0;8182;4;1900;;11147;255
vXSEMAxd57g;Meta-Chef Mark Zuckerberg entschuldigt sich bei Eltern | ntv shorts;01.02.2024;60;667;0;0;0;8542;7;6860;;10611;28
snGLVPNE87s;"""Die Geduld ist bei allen am Ende"" - Katarina Barley, EU-Spitzenkandidatin der SPD im Frühstart #ntv";01.02.2024;38;777;0;0;0;5168;158;17627;;10606;43
FjNdo_GGUL4;Zirkus? Bundestags-Plenum soll knobeln - Politiker bauen Codewort in Reden ein | ntv;02.02.2024;117;226;27;0;0;7407;7;0;;41038;265
KyVXbWDOh3U;Riesiger Feuerball über Chemiefabrik: Aufnahmen zeigen Explosion in China | #ntv #shorts #china;02.02.2024;50;1928;0;0;0;8802;29;32077;;31294;446
7Cg7e8pMK2c;"""KI soll diskriminierungsfrei sein"" - F. Brantner, Staatssekretärin des Wirtschaftsministeriums #ntv";02.02.2024;56;341;0;0;0;6176;13;3931;;19854;136
8UdU7QAxJq8;Kreml-Propagandist soll AfD-Abgeordneten beraten haben | #ntv #shorts;02.02.2024;48;198;0;0;0;5079;62;6851;;16249;258
6NQUycAVIYs;Argentinien: Massive Proteste gegen Reformpläne der Regierung | #ntv #shorts #argentinien;02.02.2024;60;671;0;0;0;9519;5;11282;;12726;167
jMi5yt884oE;Florida: Kleinflugzeug stürzt in Wohnsiedlung und löst Brand aus | #ntv #shorts #florida;02.02.2024;45;146;0;0;0;8235;3;3415;;10962;126
CCshr_4ZnOo;"Von Lucke: Demos können auch Gegenteil bewirken - ""Trotz der AfD-Wähler"" | ntv";04.02.2024;339;4071;45;0;0;3296;360;0;;154365;67
y3qxbHBgHe0;"""Selenskyjs Kriegsziele sind eine Illusion"" - Oberst a. D. stimmt Saluschnyj zu | ntv";05.02.2024;660;36948;1009;0;0;8294;767;0;;4578994;373
LImFaaAMMpc;"Habecks Wirtschafts-Sondervermögen ""würde allen schaden"" - Bijan Djir-Sarai im #Frühstart | ntv";05.02.2024;462;4389;0;0;0;5151;193;0;;1173694;136
CeJyXRtmbh0;"""Schlimmste Monate meines Lebens"" - Aus Ukraine verschleppte Kinder sagen in Washington aus | ntv";05.02.2024;175;2388;0;0;0;4688;289;0;;644809;185
24uNzkZzO5g;LIVE: Statement Bundeskanzler Scholz und  Migrationsbeauftragte Aliban-Radovan;05.02.2024;319;273;0;0;0;2914;124;0;;79634;173
g7BnF6w7INM;Gute Nachricht des Tages: Beim Spazieren ausgebüxt - Zweijähriger ist wohlauf | ntv  #ntv #shorts;05.02.2024;54;404;0;0;0;8116;13;6029;;9620;165
L0y1fqMw9mo;"Bevölkerung ""aufgewiegelt""? - AfD-Chef über Proteste ""ein Stück weit"" besorgt | ntv Frühstart";06.02.2024;471;101027;4945;0;0;9346;1097;0;;4989659;422
8POy7lo0Dro;"Lindner: ""Wenn wir nichts tun, wird Deutschland ärmer""| ntv";06.02.2024;312;22836;1144;0;0;3023;2121;0;;3769445;219
RqCPdl-oC80;Bizarre Waffenmesse in Riad: Ukraine und Russland stehen im Mittelpunkt | ntv;06.02.2024;136;7763;1100;0;0;8118;86;0;;677505;633
kDA14tV5KyE;AfD und CDU rutschen ab, BSW gewinnt an Zuspruch| ntv #Trendbarometer;06.02.2024;621;71659;76;0;0;295;865;0;;501366;5
KtbcRKGRvGI;Grüne Pizza-Orgie? Diese Nachrichten sind fake! | ntv #Faktenzeichen;06.02.2024;889;934;31;0;0;3302;282;0;;293631;196
AMCwOF1IBE0;"Söldnertruppe jetzt ""Afrikakorps"" - Neue Wagner-Gruppe hat auch ""deutsche Komponente"" | ntv";06.02.2024;158;643;135;0;0;90;10;0;;153799;492
aSx_Gp3JB_U;Karnevalswagen brennt lichterloh in Kehl | ntv;06.02.2024;26;1980;0;0;0;9078;20;45843;;16723;357
E1rqC_XSwTE;Luftaufnahmen zeigen verwüstete Touristenstadt in Chile nach dem verheerenden Feuer | #ntv #shorts;06.02.2024;52;119;0;0;0;9167;3;4997;;10750;153
EZioQLdsGxo;Brennende Reifen in Baden-Württemberg | ntv #shorts;06.02.2024;47;1851;0;0;0;9409;13;20615;;8935;282
v9TjG2iYNhk;Ist das schon die Dystopie? | #ntv #shorts;06.02.2024;52;413;0;0;0;6829;13;5352;;8807;259
G05G8_qlwjI;CDU-Ex-Fraktionschef Brinkhaus übt Kritik an der Merz-Strategie| #ntv #shorts;07.02.2024;37;1009;0;0;0;4464;124;19674;;29774;359
hp5WfIM07HU;Mehrere Frauen ziehen sich Knochenbrüche, Prellungen und Verletzungen am Kopf zu. | #ntv #shorts;07.02.2024;38;1044;0;0;0;859;11;14329;;12068;235
KQF7IslvdM4;Man geht davon aus, dass die Orcas sich befreien konnten| #ntv #shorts;07.02.2024;40;119475;0;0;0;9379;236;682876;;11480;35
tHjNxmsH_ZQ;Explosion in Feuerwerksfabrik tötet mehrere Menschen | #ntv #shorts;07.02.2024;56;575;0;0;0;9375;2;5202;;8446;169
NgaQxeh5uOc;Deutsche an Ukraine-Front getötet - Wer war Savita W.? - ntv-Reporterin auf Spurensuche | ntv;08.02.2024;138;30396;829;0;0;484;2329;0;;2503682;467
auSH8E1OIWI;"""Schuldenbremse in Kriegszeiten ist eine Albernheit"" - Hofreiter im #Frühstart | ntv";08.02.2024;484;3401;127;0;0;1256;1803;0;;1362264;124
MRw16uXc3eY;Sensations-Urteil: Mutter von Amokläufer schuldig gesprochen in Michigan | ntv;08.02.2024;136;117;33;0;0;9643;2;0;;52410;449
CNUNwmnkuvM;Große Explosion in russischer Waffenfabrik bei Ischewsk | ntv #shorts;08.02.2024;46;3757;0;0;0;8548;143;87862;;34770;394
XRtkQ8eHmek;"Karneval ""Festival für die Viren"" - Specht: ""Die Zeit der Meningokokken"" | ntv";08.02.2024;201;82;4;0;0;6333;11;0;;23811;194
q8u8RmtGjLM;"""Die Schuldenbremse in Kriegszeiten ist eine Albernheit"" - Hofreiter im Frühstart | ntv #shorts";08.02.2024;53;825;0;0;0;3209;347;13119;;22228;372
GIkwstQYXAU;"""Traurige Stand der US-Politik"" - Kleim zur Blockade der Ukraine-Hilfen | ntv #shorts";08.02.2024;53;573;0;0;0;7969;52;18276;;21882;292
B4jqtne-Tu4;US-Drohne tötet Hisbollah-Kommandeur im Irak | ntv #shorts;08.02.2024;48;401;0;0;0;8502;34;24989;;15660;262
6KZBNZaUmIs;"Taucher suchen in ""starker Strömung"" Vermisste nach Schiffsunglück | ntv #shorts";08.02.2024;60;1201;0;0;0;9778;1;7217;;10427;16
1UqLVZisbp8;Riesige Feuerwolke im längsten Tunnel Deutschlands - LKW rast brennend durch | ntv;09.02.2024;76;71240;1841;0;0;9618;98;1;;2545429;417
C2TCsiYItoA;"""Fast komisch, wenn es nicht so tragisch wäre"" - Munz zum Carlson-Interview mit Putin | ntv";09.02.2024;197;12720;658;0;0;2292;2206;0;;1605432;328
N1Tb66k3chg;Großes Interview, kein Widerspruch: Tucker Carlson lässt Wladimir Putin ungebremst fabulieren | ntv;09.02.2024;254;31567;613;0;0;4721;1478;0;;1404424;493
ZGtNG48aJ7Y;"""Dieses Interview hat Putin gar nicht genutzt""- Politologe Jäger sieht ""vier Erzählungen""  | ntv";09.02.2024;303;3137;166;0;0;3129;549;0;;381398;451
Fo7FpcirBlk;"""Das geht sie einen Scheiß an"" - US-Präsident Biden weist Vorwürfe zu Gedächtnislücken zurück #ntv";09.02.2024;49;4831;0;0;0;7318;203;119804;;100148;635
LFh2wNgBURI;Putins Aussagen findet im verlinkten Video auf unserem Kanal | #ntv #shorts #putin #tuckercarlson;09.02.2024;46;2298;0;0;0;7003;232;51184;;55090;412
rnzg-O2UXb8;Wahlkampf mit Flammenwerfer: US-Republikanerin verbrennt LGBTQ-Bücher | #ntv #shorts #usa;09.02.2024;60;211;0;0;0;812;22;6902;;27026;368
uhESjZo807s;US-Vorwahlen: Trump macht sich über Haley lustig | #ntv #shorts #usa  #trump #nikkihaley;09.02.2024;56;615;0;0;0;6812;22;6405;;11106;309
p5BPb8gE7z0;Energie-Talk: Fußbodenheizung ist ideal für Wärmepumpen | #ntv #shorts #energie #wärmepumpe;09.02.2024;57;492;0;0;0;6304;17;6573;;10240;234
UPJcGOF0gN0;Kommt der Football-Hype nach Deutschland? Was meint ihr? | #ntv #shorts #nfl;10.02.2024;43;181;0;0;0;50;9;2702;;15626;113
3OoBItpG_W8;"Kai Wegner im ntv Frühstart"": Nachwahlen sind Stoppsignal für die Ampel"" | ntv";12.02.2024;441;9772;0;0;0;3293;442;0;;2934769;108
jgBrePujtME;"Trump droht NATO: ""Würden euch nicht beschützen"" | ntv";12.02.2024;105;2887;0;0;0;7848;88;0;;352400;374
