video_id,title,publish_date,video_length_seconds,privacy_status,wiedergabezeit_minuten,durchschnittliche_wiedergabedauer,durchschnittliche_wiedergabedauer_prozent,gewonnene_abonnenten,verlorene_abonnenten,aufrufe,likes,dislikes,geteilte_inhalte,kommentare,audience_female_age18-24,audience_male_age18-24,audience_female_age25-34,audience_male_age25-34,audience_female_age35-44,audience_male_age35-44,audience_female_age45-54,audience_male_age45-54,audience_female_age55-64,audience_male_age55-64,audience_female_age65-,audience_male_age65-,audience_female_age13-17,audience_male_age13-17,Neue Zuschauer,Klicks auf Abspannelement,Klicks auf Infokartenteaser,Klicks auf Infokarte,Mag ich und Mag ich nicht im Vergleich (%),Mag ich nicht-Bewertungen,Im Feed angezeigt,Geschätzter Umsatz (EUR),Impressionen,Klickrate der Impressionen (%),Thema,Bewertung_Titel,Gestaltung_Thumbnail
LyRxLy1u0SQ,Malaysia: Helikopter Crash bei Militärübung - zehn Tote | #ntv #shorts #helicoptercrash #kualalumpur,2024-04-23T13:26:09Z,43,public,4949,26,61.15999999999999,4,0,11292,78,13,35,0,,1.3,0.3,5.7,0.9,10.8,1.9,13.4,5.2,23.9,9.4,27.1,,,582,0,0,0,8571,13,21263,,15022,497,,,
g_1OmG7UcQk,LIVE: Statement Faeser zur China-Spionage,2024-04-23T13:00:18Z,142,public,343,69,49.0,0,0,296,3,7,4,0,,,,,,,,,,,,100.0,,,20,0,0,0,30,7,0,,9371,19,,,
kNb8HjJgKqI,Angst vor Einkesselung wächst an der Front bei Kupjansk -- Kreml-Truppen intensivieren Druck | ntv,2024-04-23T09:57:50Z,113,public,15250,77,68.36,4,0,11846,96,19,7,43,,2.1,0.4,8.0,0.8,14.1,0.9,15.6,1.7,24.1,3.7,28.4,,,587,82,0,0,8348,19,0,,79372,957,,,
xuzn-ersBoE,"Was Russland ""nicht haben kann, macht es kaputt"" - Militärexperte Lange im Frühstart  | ntv",2024-04-23T09:29:00Z,511,public,178106,258,50.63,31,2,41301,724,104,56,216,0.1,0.6,0.3,3.9,0.7,11.0,1.4,16.5,2.9,26.5,5.5,30.7,,,2568,286,0,0,8744,104,0,,451676,538,,,
1g3aM6ukcuw,"Gründerin Hubertz im Bundestag: ""In der SPD gab es definitiv Neid auf meine Karriere"" | ntv",2024-04-23T08:41:59Z,478,public,1544,124,25.95,1,0,747,26,6,6,4,,,,,,11.4,,14.0,5.1,21.6,14.8,33.1,,,28,2,0,0,8125,6,0,,16920,236,,,
w7CcnfuXWno,"""Jeder, der arbeiten kann, muss das auch tun"" - SPD-Fraktionsvize Verena Hubertz | ntv #shorts",2024-04-23T08:42:22Z,59,public,364,32,55.15,0,0,672,11,4,3,6,,,,,,16.4,,,,34.4,14.9,34.4,,,41,0,0,0,7333,4,1832,,5078,161,,,
A9c_FujoopY,Schauriger Anblick: Zug fängt Feuer und rollt brennend durch die Stadt London | ntv,2024-04-23T05:53:16Z,84,public,1836,42,50.85000000000001,3,1,2579,23,1,27,9,,4.4,,5.4,,11.7,2.0,10.9,6.7,20.2,12.8,26.0,,,324,24,0,0,9583,1,0,,23767,71,,,
i9oWRCbYrfI,"""Mittrinken am Überleben vieler Brauereien"" - Bierdurst der Deutschen sinkt bedrohlich | ntv",2024-04-23T05:48:46Z,103,public,534,56,54.38000000000001,0,0,573,8,4,13,11,,,,,,38.5,,26.0,,35.6,,,,,36,4,0,0,6667,4,0,,13526,291,,,
TZy5p4VSrsM,"Front hält, neue Waffen kommen - Richter: Ob Moskaus Strategie aufgeht, ""ist zweifelhaft"" | ntv",2024-04-23T05:36:23Z,689,public,573578,311,45.21,93,2,110483,1294,298,88,468,0.2,1.3,0.4,5.8,0.7,14.5,1.1,18.8,1.8,26.1,2.7,26.5,,,12022,407,0,0,8128,298,0,,1445499,481,,,
izfcawerFoQ,Luftschlag auf Rafah: Baby überlebt Angriff im Bauch seiner getöteten Mutter | ntv,2024-04-22T19:28:13Z,103,public,13428,52,51.41,15,4,15217,221,43,156,155,1.5,5.0,6.0,14.7,8.8,14.9,7.7,8.5,10.2,7.0,9.3,6.3,,,3002,44,0,0,8371,43,0,,310963,318,,,
